name,accuracy,precision0,recall0,precision1,recall1,balanced_accuracy,f1_score0,f1_score1,average_f1_score,fowlkes_mallows0,fowlkes_mallows1,markedness,mcc,jaccard_index,cohens_kappa
"LinearSVC(C=1), thr=0.2",0.737037037037037,0.8910891089108911,0.6,0.6449704142011834,0.9083333333333333,0.7541666666666667,0.7171314741035857,0.754325259515571,0.7357283668095783,0.7312000173321488,0.7654071636931168,0.7680297615560372,0.7610061897008564,0.5835777126099707,0.7441953562850281
"LinearSVC(C=2), thr=0.2",0.7407407407407407,0.9,0.6,0.6470588235294118,0.9166666666666666,0.7583333333333333,0.72,0.7586206896551724,0.7393103448275862,0.7348469228349535,0.7701540462154054,0.7735294117647059,0.7658228069708887,0.5882352941176471,0.748
"LinearSVC(C=4), thr=0.2",0.7333333333333333,0.8979591836734694,0.5866666666666667,0.6395348837209303,0.9166666666666666,0.7516666666666667,0.7096774193548387,0.7534246575342466,0.7315510384445427,0.7258117669812438,0.7656633137858437,0.7687470336971998,0.7600666648133294,0.5789473684210527,0.7412140575079873
"LinearSVC(C=8), thr=0.2",0.737037037037037,0.9157894736842105,0.58,0.64,0.9333333333333333,0.7566666666666666,0.710204081632653,0.7593220338983051,0.7347630577654791,0.7288058004275502,0.7728734264634367,0.7778947368421052,0.7670698706134289,0.5835777126099707,0.745418326693227
"LinearSVC(C=0.01), thr=0.5",0.8592592592592593,0.85,0.9066666666666666,0.8727272727272727,0.8,0.8533333333333333,0.8774193548387097,0.8347826086956521,0.856100981767181,0.8778762251403478,0.8355727485873496,0.8613636363636363,0.8573259271055182,0.7532467532467533,0.8563025210084034
"LinearSVC(C=0.1), thr=0.5",0.8518518518518519,0.84375,0.9,0.8636363636363636,0.7916666666666666,0.8458333333333333,0.8709677419354839,0.8260869565217391,0.8485273492286115,0.8714212528966688,0.8268688657895648,0.8536931818181819,0.8497411786528069,0.7419354838709677,0.8487394957983193
"LinearSVC(C=1), thr=0.5",0.837037037037037,0.8271604938271605,0.8933333333333333,0.8518518518518519,0.7666666666666667,0.8300000000000001,0.8589743589743589,0.8070175438596491,0.832995951417004,0.8596104007934428,0.8081376242652525,0.8395061728395061,0.8347193406976015,0.7197452229299363,0.8333333333333334
"LinearSVC(C=2), thr=0.5",0.837037037037037,0.823170731707317,0.9,0.8584905660377359,0.7583333333333333,0.8291666666666666,0.8598726114649682,0.8053097345132744,0.8325911729891213,0.8607285626355067,0.8068593511750461,0.8408306488725265,0.8349478893607282,0.7197452229299363,0.8330522765598651
"LinearSVC(C=4), thr=0.5",0.8333333333333334,0.8181818181818182,0.9,0.8571428571428571,0.75,0.825,0.8571428571428571,0.8,0.8285714285714285,0.8581163303210332,0.8017837257372731,0.8376623376623377,0.8312706744344566,0.7142857142857143,0.8291139240506329
"LinearSVC(C=8), thr=0.5",0.825925925925926,0.8083832335329342,0.9,0.8543689320388349,0.7333333333333333,0.8166666666666667,0.8517350157728707,0.7892376681614349,0.8204863419671529,0.8529624318688607,0.7915410392572699,0.8313760827858845,0.8239378945860818,0.7034700315457413,0.8212172442941674
"LinearSVC(C=0.01), thr=0.8",0.7888888888888889,0.7384615384615385,0.96,0.92,0.575,0.7675,0.8347826086956521,0.7076923076923077,0.7712374581939799,0.8419756985347481,0.7273238618387272,0.8292307692307692,0.7967646049804975,0.6513761467889908,0.7779220779220779
"LinearSVC(C=0.1), thr=0.8",0.7777777777777778,0.7272727272727273,0.96,0.9166666666666666,0.55,0.755,0.8275862068965517,0.6875,0.7575431034482758,0.8355727485873496,0.710046946804693,0.821969696969697,0.7865349415468779,0.6363636363636364,0.765625
"LinearSVC(C=1), thr=0.8",0.7814814814814814,0.7309644670050761,0.96,0.9178082191780822,0.5583333333333333,0.7591666666666667,0.829971181556196,0.694300518134715,0.7621358498454556,0.837690807114936,0.7158511873109028,0.8243863430915792,0.7899484906862497,0.6413373860182371,0.7697311361665221
"LinearSVC(C=2), thr=0.8",0.7814814814814814,0.7286432160804021,0.9666666666666667,0.9295774647887324,0.55,0.7583333333333333,0.830945558739255,0.6910994764397905,0.7610225175895228,0.8392586662511874,0.7150297935287752,0.8291103404345672,0.7915821861481422,0.6413373860182371,0.7693310165073849
"LinearSVC(C=4), thr=0.8",0.7814814814814814,0.7286432160804021,0.9666666666666667,0.9295774647887324,0.55,0.7583333333333333,0.830945558739255,0.6910994764397905,0.7610225175895228,0.8392586662511874,0.7150297935287752,0.8291103404345672,0.7915821861481422,0.6413373860182371,0.7693310165073849
